lemma,freq
a,81.36
a capella,0.07
a cappella,0.07
a contrario,0.27
a fortiori,0.88
a giorno,0.27
a l'instar,0.26
a posteriori,0.20
a priori,3.85
aa,0.01
ab absurdo,0.07
ab initio,0.07
ab ovo,0.27
abaca,0.01
abaissant,0.27
abaisse,0.02
abaisse-langue,0.14
abaissement,2.16
abaisser,18.04
abaissé,0.74
abalone,0.07
abandon,27.36
abandonner,128.45
abandonnique,0.07
abandonné,24.39
abaque,0.07
abasourdi,2.64
abasourdir,2.97
abasourdissant,0.07
abat,1.01
abat-jour,8.24
abat-son,0.27
abatage,0.07
abatis,0.88
abattage,1.28
abattant,0.61
abattement,2.64
abatteur,0.27
abattis,1.08
abattoir,4.66
abattre,50.61
abattu,7.09
abbatial,0.61
abbatiale,0.14
abbaye,3.94
abbé,33.51
abc,0.04
abcès,3.31
abdication,1.96
abdiquer,2.77
abdomen,2.76
abdominal,2.56
abdos,0.86
abducteur,0.01
abduction,0.05
abeille,9.86
aber,0.25
aberrant,2.50
aberration,4.46
abhorrer,1.35
abhorré,0.27
abject,3.92
abjectement,0.10
abjection,2.30
abjuration,0.47
abjurer,1.53
abkhaze,0.07
ablatif,0.14
ablation,1.35
able,0.68
ablette,0.95
ablution,1.55
abnégation,3.58
aboi,3.58
aboiement,5.95
aboli,2.57
abolir,9.32
abolition,1.49
abolitionniste,0.17
abominable,11.22
abominablement,0.68
abomination,4.53
abominer,0.54
abondamment,4.93
abondance,9.39
abondant,7.03
abonder,4.59
abonnement,4.82
abonner,2.09
abonné,2.23
abord,19.05
abordable,0.47
abordage,1.49
aborder,33.18
abordé,0.20
aborigène,0.60
abornement,0.07
abortif,0.34
aboucher,0.81
abouler,1.80
aboulie,0.14
aboulique,0.07
about,5.94
abouti,0.20
aboutir,25.81
aboutissant,0.95
aboutissement,4.05
aboyant,0.20
aboyer,11.82
aboyeur,0.61
abracadabra,0.98
abracadabrant,0.68
abrasif,0.41
abrasion,0.19
abraxas,0.29
abreuvage,0.07
abreuver,6.22
abreuvoir,3.92
abreuvé,0.14
abri,56.76
abri-refuge,0.07
abribus,0.14
abricot,2.50
abricotier,0.41
abricotine,0.07
abritant,0.01
abriter,26.22
abrité,1.08
abrogation,0.16
abroger,0.71
abrogé,0.01
abrupt,7.43
abruptement,2.03
abruti,25.64
abrutir,6.01
abrutissant,0.41
abrutissement,1.42
abrutisseur,0.07
abréger,4.86
abrégé,0.54
abréviatif,0.07
abréviation,0.95
abscisse,0.02
abscission,0.07
abscons,0.68
absence,76.28
absent,29.80
absenter,6.14
absentéisme,0.20
absentéiste,0.01
abside,1.62
absidiole,0.07
absinthe,2.91
absolu,34.39
absolument,89.79
absolution,2.50
absolutisme,0.68
absolvant,0.14
absorbant,1.35
absorber,28.65
absorbeur,0.03
absorbé,3.72
absorption,2.03
absoudre,3.72
absous,0.68
absoute,0.14
abstenir,8.78
abstention,1.28
abstentionniste,0.14
abstinence,1.62
abstinent,0.11
abstraction,2.97
abstraire,3.18
abstrait,11.35
abstraitement,0.34
abstrus,0.61
absurde,30.95
absurdement,3.72
absurdité,6.28
abus,8.58
abuser,20.00
abuseur,0.04
abusif,1.82
abusivement,1.15
abusé,0.74
abyme,0.07
abyssal,0.74
abysse,1.07
abyssin,0.20
abyssinien,0.10
abâtardir,0.41
abécédaire,0.18
abêti,0.27
abêtir,1.28
abêtissement,0.54
abîme,20.61
abîmer,21.69
acabit,1.62
acacia,6.35
acadien,0.16
acadienne,0.03
académicien,1.55
académie,10.03
académique,1.41
académiquement,0.14
académisme,0.27
acagnarder,0.74
acajou,5.95
acanthe,0.61
acariâtre,1.55
accablant,5.41
accablement,3.72
accabler,21.28
accablé,5.47
accalmie,3.72
accaparant,0.07
accaparer,3.99
accapareur,0.02
accastillage,0.20
accelerando,0.14
accent,45.54
accenteur,0.01
accentuation,0.14
accentuer,16.15
accentué,1.55
acceptable,4.39
acceptant,0.14
acceptation,4.39
accepter,165.84
acception,0.47
accessibilité,0.03
accessible,5.74
accession,1.22
accessit,0.07
accessoire,7.30
accessoirement,0.88
accessoiriser,0.07
accessoiriste,0.62
accident,108.21
accidentel,3.45
accidentellement,3.39
accidenter,0.27
accidenté,1.42
acclamation,4.66
acclamer,5.81
acclimatation,0.81
acclimatement,0.14
acclimater,1.96
accointance,0.88
accolade,2.23
accolement,0.07
accoler,2.70
accommodant,0.47
accommodation,0.41
accommodement,1.01
accommoder,14.19
accompagnant,0.27
accompagnateur,1.01
accompagnement,2.57
accompagner,124.46
accompagné,1.58
accompli,10.54
accomplir,55.20
accomplissement,4.46
accord,766.20
accordailles,0.07
accordement,0.07
accorder,67.84
accordeur,0.61
accordo,0.07
accordé,2.58
accordéon,5.47
accordéoniste,1.69
accore,0.14
accort,0.68
accostage,0.88
accostant,0.07
accoster,4.19
accotement,1.42
accoter,2.43
accouchant,0.12
accouchement,5.96
accoucher,16.49
accoucheur,0.81
accouchée,1.15
accouder,17.70
accoudoir,5.20
accoudé,0.41
accouplement,2.50
