word,gender,freq
a,m,81.36
a priori,m,0.47
aa,m,0.01
abaca,m,0.01
abaisse,f,0.02
abaisse-langue,m,0.14
abaissement,m,2.16
abalone,m,0.07
abalones,m,0.07
abandon,m,27.36
abandonneurs,m,0.07
abandons,m,27.36
abaque,m,0.07
abat,m,1.01
abat-jour,m,8.24
abat-son,m,0.27
abatage,m,0.07
abatis,m,0.88
abats,m,1.01
abattage,m,1.28
abattages,m,1.28
abattant,m,0.61
abattants,m,0.61
abattement,m,2.64
abattements,m,2.64
abatteur,m,0.27
abatteurs,m,0.27
abattis,m,1.08
abattoir,m,4.66
abattoirs,m,4.66
abattu,m,1.42
abattures,f,0.14
abattus,m,1.42
abbatiale,f,0.14
abbaye,f,3.94
abbayes,f,3.94
abbesse,f,33.51
abbesses,f,33.51
abbé,m,33.51
abbés,m,33.51
abc,m,0.04
abcès,m,3.31
abdication,f,1.96
abdications,f,1.96
abdomen,m,2.76
abdominaux,m,0.68
abdos,m,0.86
abduction,f,0.05
abeille,f,9.86
abeilles,f,9.86
aber,m,0.25
aberration,f,4.46
aberrations,f,4.46
abjection,f,2.30
abjections,f,2.30
abjuration,f,0.47
abjurations,f,0.47
ablatif,m,0.14
ablation,f,1.35
ablations,f,1.35
able,m,0.68
ablette,f,0.95
ablettes,f,0.95
ablution,f,1.55
ablutions,f,1.55
abnégation,f,3.58
aboi,m,3.58
aboiement,m,5.95
aboiements,m,5.95
abois,m,3.58
abolition,f,1.49
abomination,f,4.53
abominations,f,4.53
abondance,f,9.39
abonnement,m,4.82
abonnements,m,4.82
abonné,m,2.23
abonnée,f,2.23
abonnées,f,2.23
abonnés,m,2.23
abord,m,19.05
abordage,m,1.49
abordages,m,1.49
abords,m,19.05
abornement,m,0.07
abouchements,m,0.07
aboulie,f,0.14
abounas,m,0.07
about,m,5.94
aboutissant,m,0.95
aboutissants,m,0.95
aboutissement,m,4.05
aboyeur,m,0.61
aboyeurs,m,0.61
abracadabra,m,0.98
abrasif,m,0.41
abrasifs,m,0.41
abrasion,f,0.19
abraxas,m,0.29
abreuvage,m,0.07
abreuvoir,m,3.92
abreuvoirs,m,3.92
abri,m,56.76
abri-refuge,m,0.07
abribus,m,0.14
abricot,m,2.50
abricotier,m,0.41
abricotiers,m,0.41
abricotine,f,0.07
abricots,m,2.50
abris,m,56.76
abrogation,f,0.16
abrupt,m,0.47
abrupts,m,0.47
abruti,m,25.64
abrutie,f,25.64
abruties,f,25.64
abrutis,m,25.64
abrutissement,m,1.42
abrutisseur,m,0.07
abrégé,m,0.54
abrégés,m,0.54
abréviation,f,0.95
abréviations,f,0.95
abscisse,f,0.02
abscission,f,0.07
absence,f,76.28
absences,f,76.28
absent,m,5.81
absente,f,5.81
absentes,f,5.81
absents,m,5.81
absentéisme,m,0.20
abside,f,1.62
absides,f,1.62
absidiole,f,0.07
absinthe,f,2.91
absolu,m,7.23
absolus,m,7.23
absolution,f,2.50
absolutisme,m,0.68
absorbant,m,0.14
absorbeur,m,0.03
absorption,f,2.03
absorptions,f,2.03
absoute,f,0.14
abstention,f,1.28
abstinence,f,1.62
abstinences,f,1.62
abstraction,f,2.97
abstractions,f,2.97
abstrait,m,1.35
abstraits,m,1.35
absurde,m,4.93
absurdes,m,4.93
absurdité,f,6.28
absurdités,f,6.28
abus,m,8.58
abuseur,m,0.04
abyme,m,0.07
abysse,m,1.07
abysses,m,1.07
abyssin,m,0.14
abyssinienne,f,0.01
abécédaire,m,0.18
abêtissement,m,0.54
abîme,m,20.61
abîmes,m,20.61
acabit,m,1.62
acabits,m,1.62
acacia,m,6.35
acacias,m,6.35
acadien,m,0.16
acadienne,f,0.03
acadiens,m,0.16
académicien,m,1.55
académiciens,m,1.55
académie,f,10.03
académies,f,10.03
académisme,m,0.27
acajou,m,5.95
acajous,m,5.95
acanthe,f,0.61
acanthes,f,0.61
acariens,m,0.07
accablement,m,3.72
accablements,m,3.72
accalmie,f,3.72
accalmies,f,3.72
accastillage,m,0.20
accastillages,m,0.20
accent,m,45.54
accenteur,m,0.01
accents,m,45.54
accentuation,f,0.14
acceptant,m,0.14
acceptation,f,4.39
acceptations,f,4.39
acception,f,0.47
acceptions,f,0.47
accesseurs,m,0.07
accessibilité,f,0.03
accession,f,1.22
accessit,m,0.07
accessoire,m,7.30
accessoires,m,7.30
accident,m,108.21
accidents,m,108.21
accidenté,m,0.61
accidentée,f,0.61
accidentés,m,0.61
acclamation,f,4.66
acclamations,f,4.66
acclimatation,f,0.81
acclimatement,m,0.14
accointance,f,0.88
accointances,f,0.88
accolade,f,2.23
accolades,f,2.23
accolement,m,0.07
accommodation,f,0.41
accommodement,m,1.01
accommodements,m,1.01
accompagnateur,m,1.01
accompagnateurs,m,1.01
accompagnatrice,f,1.01
accompagnatrices,f,1.01
accompagnement,m,2.57
accompagnements,m,2.57
accompli,m,0.20
accomplissement,m,4.46
accomplissements,m,4.46
accord,m,766.20
accordailles,f,0.07
accordement,m,0.07
accordeur,m,0.61
accordo,m,0.07
accords,m,766.20
accordé,m,2.58
accordée,f,2.58
accordées,f,2.58
accordéon,m,5.47
accordéons,m,5.47
accordés,m,2.58
accores,m,0.07
accostage,m,0.88
accotement,m,1.42
accotements,m,1.42
accotoirs,m,0.07
accotés,m,0.07
accouchement,m,5.96
accouchements,m,5.96
accoucheur,m,0.81
accoucheurs,m,0.81
accoucheuse,f,0.81
accouchée,f,1.15
accouchées,f,1.15
accoudoir,m,5.20
accoudoirs,m,5.20
accouplement,m,2.50
accouplements,m,2.50
accoutrement,m,2.70
accoutrements,m,2.70
accoutumance,f,1.28
accoutumances,f,1.28
accras,m,0.10
accro,m,2.56
accroc,m,3.11
accrochage,m,2.06
accrochages,m,2.06
accroche,f,0.65
accroche-coeur,m,0.74
accroche-coeurs,m,0.74
accroches,f,0.65
accrocs,m,3.11
accroissement,m,1.28
accros,m,2.56
accroupissement,m,0.20
accrue,f,0.07
accréditation,f,0.27
accréditations,f,0.27
accréditif,m,0.07
accrédités,m,0.07
accrétion,f,0.03
accu,m,0.34
accueil,m,16.42
accueils,m,16.42
acculturation,f,0.01
accumulateur,m,0.14
accumulateurs,m,0.14
accumulation,f,3.78
accumulations,f,3.78
accus,m,0.34
accusateur,m,1.28
accusateurs,m,1.28
accusatif,m,0.11
accusation,f,19.72
accusations,f,19.72
accusatrices,f,1.28
accusé,m,13.74
accusée,f,13.74
accusées,f,13.74
accusés,m,13.74
accès,m,29.53
accélérateur,m,3.51
accélérateurs,m,3.51
accélération,f,3.11
accélérations,f,3.11
accéléré,m,0.74
ace,m,2.48
acerbité,m,0.07
acetabulum,m,0.01
achalandage,m,0.07
achards,m,0.03
acharnement,m,8.24
acharnements,m,8.24
achat,m,16.96
achats,m,16.96
ache,f,0.20
acheminement,m,0.47
aches,f,0.20
acheteur,m,6.57
acheteurs,m,6.57
acheteuse,f,6.57
acheteuses,f,6.57
achillée,f,0.01
achondroplasie,f,0.04
achondroplasies,f,0.04
achoppement,m,0.14
achèvement,m,1.82
achèvements,m,1.82
achélème,m,1.69
achélèmes,m,1.69
